flower_name,id,Human Presence,Blurry,file_path,NIQE_score,Contains Other Taxa
Bellis perennis,10127,No,No,D:\iNaturalist\test_3000\Bellis_perennis_10127.jpeg,3.194589150256081,Yes
Bellis perennis,10150,No,No,D:\iNaturalist\test_3000\Bellis_perennis_10150.jpeg,2.8653478416559883,Yes
Bellis perennis,10172,No,No,D:\iNaturalist\test_3000\Bellis_perennis_10172.jpeg,3.9692153347011674,Yes
Bellis perennis,10250,No,No,D:\iNaturalist\test_3000\Bellis_perennis_10250.jpg,2.802292064775299,No
Bellis perennis,1038,No,No,D:\iNaturalist\test_3000\Bellis_perennis_1038.jpg,4.511052151407901,No
Bellis perennis,10608,No,No,D:\iNaturalist\test_3000\Bellis_perennis_10608.jpeg,3.315310274555328,No
Bellis perennis,109,No,No,D:\iNaturalist\test_3000\Bellis_perennis_109.jpg,4.517788964767605,No
Bellis perennis,11276,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11276.jpg,3.710097296593674,No
Bellis perennis,11314,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11314.jpg,3.646738721653396,No
Bellis perennis,11327,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11327.jpeg,4.287035099105137,No
Bellis perennis,11391,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11391.jpg,2.981896687248086,No
Bellis perennis,11503,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11503.jpeg,4.670862604874383,No
Bellis perennis,11514,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11514.jpeg,3.941294833125436,No
Bellis perennis,11611,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11611.jpg,7.9624790147752496,No
Bellis perennis,11722,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11722.jpeg,4.180895667071629,No
Bellis perennis,1173,No,No,D:\iNaturalist\test_3000\Bellis_perennis_1173.jpg,3.0019431493692266,Yes
Bellis perennis,11757,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11757.jpeg,3.955115404889792,No
Bellis perennis,11831,No,No,D:\iNaturalist\test_3000\Bellis_perennis_11831.jpg,3.8820253397094726,No
Bellis perennis,12037,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12037.jpg,3.010591832503441,Yes
Bellis perennis,12111,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12111.jpeg,2.822395524642178,No
Bellis perennis,12122,Yes,No,D:\iNaturalist\test_3000\Bellis_perennis_12122.jpg,3.450316226304369,No
Bellis perennis,12171,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12171.jpg,4.918908036945116,No
Bellis perennis,1221,No,No,D:\iNaturalist\test_3000\Bellis_perennis_1221.jpg,4.127006852367841,No
Bellis perennis,12214,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12214.jpg,3.1019338519951414,Yes
Bellis perennis,12262,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12262.jpeg,3.160328184504219,No
Bellis perennis,12471,No,No,D:\iNaturalist\test_3000\Bellis_perennis_12471.jpg,4.710182301700476,No
Bellis perennis,1259,No,No,D:\iNaturalist\test_3000\Bellis_perennis_1259.jpg,2.9761034231342727,No
