image_name,human_presence
Bellis_perennis_1821.jpg,No
Bellis_perennis_15793.jpg,No
Bellis_perennis_58111.jpeg,No
Bellis_perennis_26487.jpeg,No
Bellis_perennis_4520.jpg,Yes
Bellis_perennis_52744.jpeg,No
Bellis_perennis_53648.jpg,No
Bellis_perennis_3451.jpeg,No
Bellis_perennis_29726.jpeg,No
Bellis_perennis_18978.jpg,No
Bellis_perennis_53369.jpg,Yes
Bellis_perennis_32134.jpg,No
Bellis_perennis_33483.jpg,No
Bellis_perennis_14255.jpeg,No
Bellis_perennis_3148.jpg,No
Bellis_perennis_70483.jpeg,No
Bellis_perennis_38647.jpg,No
Bellis_perennis_13582.jpeg,No
Bellis_perennis_58803.jpg,No
Bellis_perennis_61313.jpeg,No
Bellis_perennis_65983.jpeg,No
Bellis_perennis_49197.jpeg,No
Bellis_perennis_27227.jpeg,No
Bellis_perennis_9256.jpg,No
Bellis_perennis_64405.jpeg,No
Bellis_perennis_19871.jpeg,No
Bellis_perennis_3980.jpeg,No
Bellis_perennis_85293.jpeg,No
Bellis_perennis_76048.jpg,Yes
Bellis_perennis_58405.jpeg,No
Bellis_perennis_8139.jpg,No
Bellis_perennis_70471.jpeg,No
Bellis_perennis_35093.jpg,No
Bellis_perennis_15199.jpeg,No
Bellis_perennis_77678.jpeg,No
Bellis_perennis_38650.jpg,Yes
Bellis_perennis_13868.jpeg,No
Bellis_perennis_15240.jpeg,No
Bellis_perennis_25033.jpg,No
Bellis_perennis_64021.jpeg,No
Bellis_perennis_57523.jpeg,No
Bellis_perennis_10116.jpeg,No
Bellis_perennis_37135.jpg,No
Bellis_perennis_58966.jpg,No
Bellis_perennis_84202.jpeg,No
Bellis_perennis_32880.jpeg,No
Bellis_perennis_60656.jpeg,No
Bellis_perennis_75181.jpg,No
Bellis_perennis_66081.jpeg,No
Bellis_perennis_65972.jpeg,No
Bellis_perennis_10512.jpg,No
Bellis_perennis_25896.jpeg,No
Bellis_perennis_19423.jpg,No
Bellis_perennis_71880.jpeg,No
Bellis_perennis_80896.jpeg,No
Bellis_perennis_66318.jpg,No
Bellis_perennis_61000.jpg,No
Bellis_perennis_48335.jpeg,No
Bellis_perennis_29492.jpeg,No
Bellis_perennis_22694.jpeg,No
Bellis_perennis_66727.jpeg,No
Bellis_perennis_15718.jpeg,No
Bellis_perennis_6406.jpeg,No
Bellis_perennis_77884.jpg,No
Bellis_perennis_1811.jpg,No
Bellis_perennis_61141.jpg,No
Bellis_perennis_51088.jpeg,No
Bellis_perennis_15079.jpg,No
Bellis_perennis_37778.jpg,No
Bellis_perennis_64900.jpg,No
Bellis_perennis_22794.jpg,No
Bellis_perennis_78344.jpg,No
Bellis_perennis_23208.jpeg,No
Bellis_perennis_18936.jpeg,No
Bellis_perennis_6662.jpg,No
Bellis_perennis_5078.jpeg,No
Bellis_perennis_78855.jpeg,No
Bellis_perennis_39757.jpg,No
Bellis_perennis_11222.jpg,No
Bellis_perennis_53694.jpg,No
Bellis_perennis_70202.jpeg,No
Bellis_perennis_83026.jpeg,No
