image_name,human_presence
Bellis_perennis_54120.jpeg,No
Bellis_perennis_47113.jpg,No
Bellis_perennis_29915.jpeg,No
Bellis_perennis_10452.jpeg,No
Bellis_perennis_59066.jpeg,No
Bellis_perennis_64105.jpg,No
Bellis_perennis_76675.jpeg,No
Bellis_perennis_26155.jpg,No
Bellis_perennis_16232.jpg,No
Bellis_perennis_36349.jpeg,No
Bellis_perennis_38762.jpg,No
Bellis_perennis_17574.jpg,No
Bellis_perennis_11814.jpeg,No
Bellis_perennis_14461.jpeg,No
Bellis_perennis_39439.jpg,No
Bellis_perennis_64435.jpeg,No
Bellis_perennis_74756.jpg,No
Bellis_perennis_7571.jpeg,No
Bellis_perennis_34159.jpeg,No
Bellis_perennis_33807.jpg,No
Bellis_perennis_83090.jpeg,No
Bellis_perennis_79168.jpg,No
Bellis_perennis_83621.jpeg,No
Bellis_perennis_63985.jpeg,No
Bellis_perennis_72394.jpeg,No
Bellis_perennis_12058.jpg,No
Bellis_perennis_5561.jpeg,No
Bellis_perennis_2668.jpeg,No
Bellis_perennis_36863.jpeg,No
Bellis_perennis_81517.jpeg,No
Bellis_perennis_83733.jpeg,No
Bellis_perennis_66191.jpeg,No
Bellis_perennis_86487.jpeg,No
Bellis_perennis_49840.jpg,No
Bellis_perennis_27678.jpeg,No
Bellis_perennis_75256.jpg,No
Bellis_perennis_7000.jpeg,No
Bellis_perennis_67896.jpeg,No
Bellis_perennis_46425.jpeg,No
Bellis_perennis_41365.jpg,No
Bellis_perennis_81473.jpeg,No
Bellis_perennis_68868.jpeg,No
Bellis_perennis_63262.jpg,No
Bellis_perennis_22893.jpeg,No
Bellis_perennis_73162.jpg,No
Bellis_perennis_6199.jpg,No
Bellis_perennis_35931.jpg,No
Bellis_perennis_67522.jpeg,No
Bellis_perennis_65573.jpg,No
Bellis_perennis_63968.jpg,No
Bellis_perennis_75763.jpg,No
Bellis_perennis_58214.jpeg,No
Bellis_perennis_25179.jpeg,No
Bellis_perennis_16505.jpg,No
Bellis_perennis_59199.jpg,No
Bellis_perennis_54021.jpeg,No
Bellis_perennis_31137.jpeg,No
Bellis_perennis_74957.jpeg,No
Bellis_perennis_80069.jpeg,No
Bellis_perennis_23355.jpg,No
Bellis_perennis_84489.jpeg,No
Bellis_perennis_18950.jpeg,No
Bellis_perennis_18416.jpg,No
Bellis_perennis_30591.jpg,No
Bellis_perennis_72872.jpeg,No
Bellis_perennis_27796.jpg,No
