image_name,human_presence
Bellis_perennis_23299.jpeg,No
Bellis_perennis_23397.jpeg,No
Bellis_perennis_23589.jpg,No
Bellis_perennis_23595.jpeg,No
Bellis_perennis_24445.jpg,No
Bellis_perennis_24741.jpg,No
Bellis_perennis_24768.jpeg,No
Bellis_perennis_24944.jpeg,No
Bellis_perennis_25032.jpeg,No
Bellis_perennis_26044.jpg,No
Bellis_perennis_27836.jpeg,No
Bellis_perennis_27888.jpeg,No
Bellis_perennis_28331.jpeg,No
Bellis_perennis_28354.jpg,No
Bellis_perennis_28510.jpg,No
Bellis_perennis_28643.jpg,No
Bellis_perennis_28900.jpg,No
Bellis_perennis_31032.jpeg,No
Bellis_perennis_31578.jpg,No
Bellis_perennis_31650.jpeg,No
Bellis_perennis_31754.jpeg,No
Bellis_perennis_31871.jpg,No
Bellis_perennis_32025.jpeg,No
Bellis_perennis_32825.jpeg,No
Bellis_perennis_33213.jpg,No
Bellis_perennis_33216.jpeg,No
Bellis_perennis_33265.jpg,No
Bellis_perennis_33850.jpeg,No
Bellis_perennis_34145.jpeg,No
Bellis_perennis_34833.jpg,No
Bellis_perennis_35956.jpeg,No
Bellis_perennis_36708.jpg,No
Bellis_perennis_37253.jpg,No
Bellis_perennis_38622.jpeg,No
Bellis_perennis_42509.jpeg,No
Bellis_perennis_42585.jpeg,No
Bellis_perennis_42750.jpg,No
Bellis_perennis_43031.jpg,No
Bellis_perennis_43756.jpeg,No
Bellis_perennis_44817.jpeg,No
Bellis_perennis_45287.jpg,No
Bellis_perennis_45777.jpg,No
Bellis_perennis_45972.jpg,No
Bellis_perennis_45998.jpg,No
Bellis_perennis_46285.jpeg,No
Bellis_perennis_46708.jpeg,No
Bellis_perennis_47439.jpeg,No
Bellis_perennis_48063.jpeg,No
Bellis_perennis_48294.jpeg,Yes
Bellis_perennis_48390.jpg,No
Bellis_perennis_48441.jpg,No
Bellis_perennis_49942.jpeg,No
Bellis_perennis_49969.jpg,No
Bellis_perennis_51033.jpeg,No
Bellis_perennis_51372.jpeg,No
Bellis_perennis_51544.jpeg,No
Bellis_perennis_51643.jpg,No
Bellis_perennis_51647.jpeg,No
Bellis_perennis_51657.jpg,No
Bellis_perennis_52109.jpg,No
Bellis_perennis_52303.jpg,No
Bellis_perennis_52704.jpeg,No
Bellis_perennis_53286.jpeg,No
Bellis_perennis_53373.jpg,No
Bellis_perennis_53592.jpeg,No
Bellis_perennis_54074.jpg,No
Bellis_perennis_54387.jpg,No
Bellis_perennis_54543.jpg,No
Bellis_perennis_58866.jpg,No
Bellis_perennis_59818.jpeg,No
Bellis_perennis_61416.jpg,No
Bellis_perennis_61580.jpeg,No
Bellis_perennis_61603.jpeg,No
Bellis_perennis_62321.jpeg,No
Bellis_perennis_63007.jpeg,No
Bellis_perennis_63705.jpg,No
Bellis_perennis_63833.jpeg,No
Bellis_perennis_64186.jpg,No
Bellis_perennis_64582.jpg,No
Bellis_perennis_64645.jpg,No
Bellis_perennis_64759.jpeg,No
Bellis_perennis_65518.jpg,No
Bellis_perennis_66939.jpg,No
Bellis_perennis_67264.jpeg,No
Bellis_perennis_67354.jpeg,No
Bellis_perennis_71331.jpeg,No
Bellis_perennis_71653.jpg,No
Bellis_perennis_72294.jpeg,No
Bellis_perennis_72501.jpeg,No
Bellis_perennis_72867.jpeg,No
Bellis_perennis_73115.jpg,No
Bellis_perennis_73189.jpeg,No
Bellis_perennis_73419.jpeg,No
Bellis_perennis_73473.jpeg,No
Bellis_perennis_74274.jpg,No
Bellis_perennis_74387.jpg,Yes
Bellis_perennis_74570.jpg,No
Bellis_perennis_74877.jpg,No
Bellis_perennis_74930.jpeg,No
Bellis_perennis_75020.jpeg,No
Bellis_perennis_75678.jpeg,No
Bellis_perennis_75777.jpeg,No
Bellis_perennis_78606.jpeg,No
Bellis_perennis_79105.jpg,No
Bellis_perennis_79318.jpeg,No
Bellis_perennis_79728.jpg,No
Bellis_perennis_80680.jpeg,No
Bellis_perennis_82114.jpeg,No
Bellis_perennis_82909.jpeg,No
Bellis_perennis_83546.jpeg,No
Bellis_perennis_83806.jpeg,No
Bellis_perennis_83875.jpeg,No
Bellis_perennis_84257.jpeg,No
Bellis_perennis_84312.jpeg,No
Bellis_perennis_84558.jpeg,No
Bellis_perennis_84789.jpg,No
Bellis_perennis_85510.jpg,No
Bellis_perennis_86013.jpeg,No
Bellis_perennis_86505.jpg,No
Bellis_perennis_1642.jpg,No
Bellis_perennis_2298.jpg,No
